region,tech,vintage,input_comm,output_comm,efficiency,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,T_LDV_C_BEV150_EX,2024,T_elc_ldv_bev_chrg,T_D_pkm_ldv_c,2.324932649,"[bpkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class; BEV ratings were grouped into range classes, 150-mile range class values were used. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.",T05,,,,,,TRPHRON001
ON,T_LDV_C_DSL_EX,2024,T_dsl_rdsl04,T_D_pkm_ldv_c,0.704360387,[bpkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T17,,,,,,TRPHRON001
ON,T_LDV_C_GSL_EX,2024,T_gsl_eth10,T_D_pkm_ldv_c,0.505194335,[bpkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T17,,,,,,TRPHRON001
ON,T_LDV_C_GSL_HEV_EX,2024,T_gsl_eth10,T_D_pkm_ldv_c,0.640541394,[bpkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T05,,,,,,TRPHRON001
ON,T_LDV_C_GSL_PHEV35_EX,2024,T_gsl_elc_phev35,T_D_pkm_ldv_c,1.493019906,[bpkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class; only the charge-depletion mode efficiencies were used as the utility-weighted values where disproportionately high when compared to the utility weighted efficiency projections. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T05,,,,,,TRPHRON001
ON,T_HDV_T_DSL_EX,2024,T_dsl_rdsl04,T_D_tkm_hdv_t,0.653583559,[btkm/PJ] Vehicle class fuel efficiency derived from provincial fleet fuel efficiency. Reported values are in L of gasoline eq. Values were harmonized using provincial load factors. Fuel HHVs were used for unit conversion.,T17,,,,,,TRPHRON001
ON,T_LDV_LTF_DSL_EX,2024,T_dsl_rdsl04,T_D_tkm_ldv_t,0.172484225,[btkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T17,,,,,,TRPHRON001
ON,T_LDV_LTF_GSL_EX,2024,T_gsl_eth10,T_D_tkm_ldv_t,0.145476992,[btkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T17,,,,,,TRPHRON001
ON,T_LDV_LTF_GSL_HEV_EX,2024,T_gsl_eth10,T_D_tkm_ldv_t,0.202833422,[btkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T05,,,,,,TRPHRON001
ON,T_LDV_LTF_GSL_PHEV35_EX,2024,T_gsl_elc_phev35,T_D_tkm_ldv_t,0.448327372,[btkm/PJ] Vehicle class fuel efficiency aggregated from NRCan Fuel Economy Guide ratings by size class; only the charge-depletion mode efficiencies were used as the utility-weighted values where disproportionately high when compared to the utility weighted efficiency projections. Aggregation was done with Wards 2022 national size-class shares derived from vehicle sales by model in 2021. Values were harmonized using provincial load factors.,T05,,,,,,TRPHRON001
