region,tech,vintage,efficiency,input_comm,output_comm
AB,T_LDV_C_BEV150_EX,2010.0,2.32346608,T_elc_ldv_bev_chrg,T_D_pkm_ldv_c
AB,T_LDV_C_DSL_EX,2005.0,0.608028272,T_dsl_rdsl04,T_D_pkm_ldv_c
AB,T_LDV_C_GSL_EX,2005.0,0.425478046,T_gsl_eth10,T_D_pkm_ldv_c
AB,T_LDV_C_GSL_HEV_EX,2010.0,0.640460628,T_gsl_eth10,T_D_pkm_ldv_c
AB,T_LDV_C_GSL_PHEV35_EX,2010.0,1.492078108,T_gsl_elc_phev35,T_D_pkm_ldv_c
AB,T_LDV_LTF_DSL_EX,2005.0,0.142805534,T_dsl_rdsl04,T_D_tkm_ldv_t
AB,T_LDV_LTF_GSL_EX,2005.0,0.119120479,T_gsl_eth10,T_D_tkm_ldv_t
AB,T_LDV_LTF_GSL_HEV_EX,2010.0,0.175322514,T_gsl_eth10,T_D_tkm_ldv_t
AB,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.448327372,T_gsl_elc_phev35,T_D_tkm_ldv_t
AB,T_LDV_LTP_BEV300_EX,2010.0,1.908429681,T_elc_ldv_bev_chrg,T_D_pkm_ldv_t
AB,T_LDV_LTP_DSL_EX,2005.0,0.440572659,T_dsl_rdsl04,T_D_pkm_ldv_t
AB,T_LDV_LTP_GSL_EX,2005.0,0.367501346,T_gsl_eth10,T_D_pkm_ldv_t
AB,T_LDV_LTP_GSL_HEV_EX,2010.0,0.538282374,T_gsl_eth10,T_D_pkm_ldv_t
AB,T_LDV_LTP_GSL_PHEV35_EX,2010.0,1.376472456,T_gsl_elc_phev35,T_D_pkm_ldv_t
BC,T_LDV_C_BEV150_EX,2010.0,2.32346608,T_elc_ldv_bev_chrg,T_D_pkm_ldv_c
BC,T_LDV_C_DSL_EX,2005.0,0.608028272,T_dsl_rdsl04,T_D_pkm_ldv_c
BC,T_LDV_C_GSL_EX,2005.0,0.425478046,T_gsl_eth10,T_D_pkm_ldv_c
BC,T_LDV_C_GSL_HEV_EX,2010.0,0.640460628,T_gsl_eth10,T_D_pkm_ldv_c
BC,T_LDV_C_GSL_PHEV35_EX,2010.0,1.492078108,T_gsl_elc_phev35,T_D_pkm_ldv_c
BC,T_LDV_LTF_DSL_EX,2005.0,0.142805534,T_dsl_rdsl04,T_D_tkm_ldv_t
BC,T_LDV_LTF_GSL_EX,2005.0,0.119120479,T_gsl_eth10,T_D_tkm_ldv_t
BC,T_LDV_LTF_GSL_HEV_EX,2010.0,0.175322514,T_gsl_eth10,T_D_tkm_ldv_t
BC,T_LDV_LTF_GSL_HEV_EX,2020.0,0.175322514,T_gsl_eth10,T_D_tkm_ldv_t
BC,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.448327372,T_gsl_elc_phev35,T_D_tkm_ldv_t
BC,T_LDV_LTP_BEV300_EX,2010.0,1.908429681,T_elc_ldv_bev_chrg,T_D_pkm_ldv_t
BC,T_LDV_LTP_DSL_EX,2005.0,0.440572659,T_dsl_rdsl04,T_D_pkm_ldv_t
BC,T_LDV_LTP_GSL_EX,2005.0,0.367501346,T_gsl_eth10,T_D_pkm_ldv_t
BC,T_LDV_LTP_GSL_HEV_EX,2010.0,0.538282374,T_gsl_eth10,T_D_pkm_ldv_t
BC,T_LDV_LTP_GSL_PHEV35_EX,2010.0,1.376472456,T_gsl_elc_phev35,T_D_pkm_ldv_t
MB,T_LDV_C_BEV150_EX,2010.0,2.32346608,T_elc_ldv_bev_chrg,T_D_pkm_ldv_c
MB,T_LDV_C_DSL_EX,2005.0,0.608028272,T_dsl_rdsl04,T_D_pkm_ldv_c
MB,T_LDV_C_GSL_EX,2005.0,0.425478046,T_gsl_eth10,T_D_pkm_ldv_c
MB,T_LDV_C_GSL_HEV_EX,2010.0,0.640460628,T_gsl_eth10,T_D_pkm_ldv_c
MB,T_LDV_C_GSL_PHEV35_EX,2010.0,1.492078108,T_gsl_elc_phev35,T_D_pkm_ldv_c
MB,T_LDV_LTF_DSL_EX,2005.0,0.142805534,T_dsl_rdsl04,T_D_tkm_ldv_t
