region,input_comm,tech,vintage,output_comm,efficiency,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,A_elc,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRAB002
AB,A_ng,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRAB002
AB,A_dsl,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRAB002
AB,A_gsl,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRAB002
AB,A_elc,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRAB002
AB,A_ng,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRAB002
AB,A_dsl,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRAB002
AB,A_gsl,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRAB002
AB,A_elc,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRAB002
AB,A_ng,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRAB002
AB,A_dsl,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRAB002
AB,A_gsl,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRAB002
AB,A_elc,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRAB002
AB,A_ng,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRAB002
AB,A_dsl,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRAB002
AB,A_gsl,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRAB002
AB,A_elc,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRAB002
AB,A_ng,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRAB002
AB,A_dsl,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRAB002
AB,A_gsl,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRAB002
BC,A_elc,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRBC002
BC,A_ng,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRBC002
BC,A_dsl,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRBC002
BC,A_gsl,A_AGRI,2025,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2030),A1,,,,,,AGRIHRBC002
BC,A_elc,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRBC002
BC,A_ng,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRBC002
BC,A_dsl,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRBC002
BC,A_gsl,A_AGRI,2030,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2035),A1,,,,,,AGRIHRBC002
BC,A_elc,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRBC002
BC,A_ng,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRBC002
BC,A_dsl,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRBC002
BC,A_gsl,A_AGRI,2035,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2040),A1,,,,,,AGRIHRBC002
BC,A_elc,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRBC002
BC,A_ng,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRBC002
BC,A_dsl,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRBC002
BC,A_gsl,A_AGRI,2040,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2045),A1,,,,,,AGRIHRBC002
BC,A_elc,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRBC002
BC,A_ng,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRBC002
BC,A_dsl,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRBC002
BC,A_gsl,A_AGRI,2045,A_d_agri,1.0,All technologies assumed efficiency=1; commodities from NRCan Comp DB (data year: 2050),A1,,,,,,AGRIHRBC002
