region,tech,units,vintage,capacity
ON,T_MDV_T_GSL_EX,k units,2005,8.8
ON,T_MDV_T_DSL_EX,k units,2005,13.2
ON,T_HDV_T_DSL_EX,k units,2005,50.0
ON,T_LDV_C_GSL_EX,k units,2010,1139.7499999999998
ON,T_LDV_C_DSL_EX,k units,2010,35.25
ON,T_LDV_LTP_GSL_EX,k units,2010,996.55
ON,T_LDV_LTP_DSL_EX,k units,2010,31.47
ON,T_LDV_LTF_GSL_EX,k units,2010,277.4
ON,T_LDV_LTF_DSL_EX,k units,2010,11.68
ON,T_MDV_T_GSL_EX,k units,2010,50.800000000000004
ON,T_MDV_T_DSL_EX,k units,2010,76.19999999999999
ON,T_HDV_T_DSL_EX,k units,2010,40.0
ON,T_LDV_C_GSL_EX,k units,2015,1321.181759921469
ON,T_LDV_C_DSL_EX,k units,2015,39.29306831571509
ON,T_LDV_C_BEV150_EX,k units,2015,3.30008304292822
ON,T_LDV_C_GSL_HEV_EX,k units,2015,29.70799108551037
ON,T_LDV_C_GSL_PHEV35_EX,k units,2015,2.5170976343774747
ON,T_LDV_LTP_GSL_EX,k units,2015,1261.0714071800512
ON,T_LDV_LTP_DSL_EX,k units,2015,55.52546747450267
ON,T_LDV_LTP_BEV300_EX,k units,2015,0.0730283709799775
ON,T_LDV_LTP_GSL_HEV_EX,k units,2015,3.246772239038628
ON,T_LDV_LTP_GSL_PHEV35_EX,k units,2015,0.08332473542752837
ON,T_LDV_LTF_GSL_EX,k units,2015,345.3177830163106
ON,T_LDV_LTF_DSL_EX,k units,2015,23.5988146761315
ON,T_LDV_LTF_GSL_HEV_EX,k units,2015,0.0700831734074987
ON,T_MDV_T_GSL_EX,k units,2015,58.0
ON,T_MDV_T_DSL_EX,k units,2015,87.0
ON,T_HDV_T_DSL_EX,k units,2015,48.0
ON,T_LDV_C_GSL_EX,k units,2020,1092.2868050847035
ON,T_LDV_C_DSL_EX,k units,2020,2.709940986685966
ON,T_LDV_C_BEV150_EX,k units,2020,22.863768011755027
ON,T_LDV_C_GSL_HEV_EX,k units,2020,29.894884282320596
ON,T_LDV_C_GSL_PHEV35_EX,k units,2020,15.244601634534913
ON,T_LDV_LTP_GSL_EX,k units,2020,1827.0221328701382
ON,T_LDV_LTP_DSL_EX,k units,2020,67.58918590038955
ON,T_LDV_LTP_BEV300_EX,k units,2020,5.1625485956206685
ON,T_LDV_LTP_GSL_HEV_EX,k units,2020,21.065298193504443
ON,T_LDV_LTP_GSL_PHEV35_EX,k units,2020,5.1608344403470685
ON,T_LDV_LTF_GSL_EX,k units,2020,487.5960339860624
ON,T_LDV_LTF_DSL_EX,k units,2020,47.45969019448307
ON,T_LDV_LTF_GSL_HEV_EX,k units,2020,0.005705801511730637
ON,T_LDV_LTF_GSL_PHEV35_EX,k units,2020,0.9385700179427734
ON,T_MDV_T_GSL_EX,k units,2020,80.21032261872317
ON,T_MDV_T_DSL_EX,k units,2020,130.7830244902731
ON,T_HDV_T_DSL_EX,k units,2020,59.0
ON,T_LDV_C_GSL_EX,k units,2024,475.6281315865998
ON,T_LDV_C_DSL_EX,k units,2024,0.0012419178316114658
ON,T_LDV_C_BEV150_EX,k units,2024,54.59081111858943
ON,T_LDV_C_GSL_HEV_EX,k units,2024,33.55931555898413
ON,T_LDV_C_GSL_PHEV35_EX,k units,2024,4.220499817995067
ON,T_LDV_LTP_GSL_EX,k units,2024,1225.3049196740023
ON,T_LDV_LTP_DSL_EX,k units,2024,63.785998391323716
ON,T_LDV_LTP_BEV300_EX,k units,2024,50.82029809602818
ON,T_LDV_LTP_GSL_HEV_EX,k units,2024,82.96006970830258
ON,T_LDV_LTP_GSL_PHEV35_EX,k units,2024,14.128714130343262
ON,T_LDV_LTF_GSL_EX,k units,2024,320.7757350154649
ON,T_LDV_LTF_DSL_EX,k units,2024,57.177650019520044
ON,T_LDV_LTF_GSL_HEV_EX,k units,2024,20.56003375827826
ON,T_LDV_LTF_GSL_PHEV35_EX,k units,2024,1.2854817061282855
ON,T_MDV_T_GSL_EX,k units,2024,70.47312101845478
ON,T_MDV_T_DSL_EX,k units,2024,108.51401891627243
ON,T_HDV_T_DSL_EX,k units,2024,52.0
