region,tech,vintage,capacity
AB,T_LDV_C_BEV150_EX,2010.0,0.45285488140514296
AB,T_LDV_C_BEV150_EX,2015.0,3.346419117168078
AB,T_LDV_C_BEV150_EX,2020.0,9.476462365458758
AB,T_LDV_C_DSL_EX,2005.0,7.391819999999999
AB,T_LDV_C_DSL_EX,2010.0,9.073098182079177
AB,T_LDV_C_DSL_EX,2015.0,1.7743260063169501
AB,T_LDV_C_DSL_EX,2020.0,0.002733608452258518
AB,T_LDV_C_GSL_EX,2005.0,239.00217999999998
AB,T_LDV_C_GSL_EX,2010.0,291.7873809154735
AB,T_LDV_C_GSL_EX,2015.0,228.29349699844266
AB,T_LDV_C_GSL_EX,2020.0,106.22188842365429
AB,T_LDV_C_GSL_HEV_EX,2010.0,5.466981477686844
AB,T_LDV_C_GSL_HEV_EX,2015.0,5.386863244099072
AB,T_LDV_C_GSL_HEV_EX,2020.0,8.527915337173916
AB,T_LDV_C_GSL_PHEV35_EX,2010.0,0.3986845433553328
AB,T_LDV_C_GSL_PHEV35_EX,2015.0,2.696894633973236
AB,T_LDV_C_GSL_PHEV35_EX,2020.0,0.9600002652607798
AB,T_HDV_T_DSL_EX,2005.0,33.494
AB,T_HDV_T_DSL_EX,2010.0,33.898
AB,T_HDV_T_DSL_EX,2015.0,21.878999999999998
AB,T_HDV_T_DSL_EX,2020.0,17.244
AB,T_LDV_LTF_DSL_EX,2005.0,7.39176
AB,T_LDV_LTF_DSL_EX,2010.0,12.868640003204645
AB,T_LDV_LTF_DSL_EX,2015.0,21.72712768654447
AB,T_LDV_LTF_DSL_EX,2020.0,27.670724128973678
AB,T_LDV_LTF_GSL_EX,2005.0,175.55429999999998
AB,T_LDV_LTF_GSL_EX,2010.0,221.88157870034547
AB,T_LDV_LTF_GSL_EX,2015.0,234.3466739240107
AB,T_LDV_LTF_GSL_EX,2020.0,178.5930176223972
AB,T_LDV_LTF_GSL_HEV_EX,2010.0,0.04898634969048703
AB,T_LDV_LTF_GSL_HEV_EX,2020.0,8.11876170618892
AB,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.40619838944481274
AB,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.6234150149809544
AB,T_LDV_LTP_BEV300_EX,2010.0,0.011989896210675938
AB,T_LDV_LTP_BEV300_EX,2015.0,0.7392620663477406
AB,T_LDV_LTP_BEV300_EX,2020.0,14.558506693661096
AB,T_LDV_LTP_DSL_EX,2005.0,11.50263
AB,T_LDV_LTP_DSL_EX,2010.0,18.527481421759912
AB,T_LDV_LTP_DSL_EX,2015.0,20.152521687134964
AB,T_LDV_LTP_DSL_EX,2020.0,17.767649597286905
AB,T_LDV_LTP_GSL_EX,2005.0,364.24995
AB,T_LDV_LTP_GSL_EX,2010.0,467.6848486538975
AB,T_LDV_LTP_GSL_EX,2015.0,506.9223929865509
AB,T_LDV_LTP_GSL_EX,2020.0,379.13014623762956
AB,T_LDV_LTP_GSL_HEV_EX,2010.0,1.0671246973128654
AB,T_LDV_LTP_GSL_HEV_EX,2015.0,3.6315638019580243
AB,T_LDV_LTP_GSL_HEV_EX,2020.0,28.490969077130316
AB,T_LDV_LTP_GSL_PHEV35_EX,2010.0,0.003955330819068722
AB,T_LDV_LTP_GSL_PHEV35_EX,2015.0,1.1522594580083245
AB,T_LDV_LTP_GSL_PHEV35_EX,2020.0,5.232728394292108
AB,T_MDV_T_DSL_EX,2005.0,100.7958
