tech,vintage,fraction,notes,period,region
T_LDV_C_BEV150_EX,2015,1,From MOVES5,2015,ON
T_LDV_C_BEV150_EX,2015,0.997,From MOVES5,2016,ON
T_LDV_C_BEV150_EX,2015,0.994009,From MOVES5,2017,ON
T_LDV_C_BEV150_EX,2015,0.991026973,From MOVES5,2018,ON
T_LDV_C_BEV150_EX,2015,0.984089784,From MOVES5,2019,ON
T_LDV_C_BEV150_EX,2015,0.974248886,From MOVES5,2020,ON
T_LDV_C_BEV150_EX,2015,0.960609402,From MOVES5,2021,ON
T_LDV_C_BEV150_EX,2015,0.942357823,From MOVES5,2022,ON
T_LDV_C_BEV150_EX,2015,0.919741236,From MOVES5,2023,ON
T_LDV_C_BEV150_EX,2015,0.89306874,From MOVES5,2024,ON
T_LDV_C_BEV150_EX,2015,0.861811334,From MOVES5,2025,ON
T_LDV_C_BEV150_EX,2015,0.826477069,From MOVES5,2026,ON
T_LDV_C_BEV150_EX,2015,0.787632647,From MOVES5,2027,ON
T_LDV_C_BEV150_EX,2015,0.718320974,From MOVES5,2028,ON
T_LDV_C_BEV150_EX,2015,0.613446112,From MOVES5,2029,ON
T_LDV_C_BEV150_EX,2015,0.510387165,From MOVES5,2030,ON
T_LDV_C_BEV150_EX,2015,0.414944765,From MOVES5,2031,ON
T_LDV_C_BEV150_EX,2015,0.331540867,From MOVES5,2032,ON
T_LDV_C_BEV150_EX,2015,0.260922663,From MOVES5,2033,ON
T_LDV_C_BEV150_EX,2015,0.203258754,From MOVES5,2034,ON
T_LDV_C_BEV150_EX,2015,0.156915758,From MOVES5,2035,ON
T_LDV_C_BEV150_EX,2015,0.120354387,From MOVES5,2036,ON
T_LDV_C_BEV150_EX,2015,0.091830397,From MOVES5,2037,ON
T_LDV_C_BEV150_EX,2015,0.069791102,From MOVES5,2038,ON
T_LDV_C_BEV150_EX,2015,0.052831864,From MOVES5,2039,ON
T_LDV_C_BEV150_EX,2015,0.039993721,From MOVES5,2040,ON
T_LDV_C_BEV150_EX,2015,0.030155266,From MOVES5,2041,ON
T_LDV_C_BEV150_EX,2015,0.02273707,From MOVES5,2042,ON
T_LDV_C_BEV150_EX,2015,0.012891919,From MOVES5,2043,ON
T_LDV_C_BEV150_EX,2015,0.009694723,From MOVES5,2044,ON
T_LDV_C_BEV150_EX,2015,0.007290432,From MOVES5,2045,ON
T_LDV_C_BEV150_EX,2015,0.005475114,From MOVES5,2046,ON
T_LDV_C_BEV150_EX,2015,0.004106336,From MOVES5,2047,ON
T_LDV_C_BEV150_EX,2015,0.003079752,From MOVES5,2048,ON
T_LDV_C_BEV150_EX,2015,0.002306734,From MOVES5,2049,ON
T_LDV_C_BEV150_EX,2015,0.001725437,From MOVES5,2050,ON
T_LDV_C_BEV150_EX,2015,0.001288901,From MOVES5,2051,ON
T_LDV_C_BEV150_EX,2015,0.000961521,From MOVES5,2052,ON
T_LDV_C_BEV150_EX,2015,0.000717294,From MOVES5,2053,ON
T_LDV_C_BEV150_EX,2015,0.000534384,From MOVES5,2054,ON
T_LDV_C_BEV150_EX,2015,0.000397582,From MOVES5,2055,ON
T_LDV_C_BEV150_EX,2015,0.000295403,From MOVES5,2056,ON
T_LDV_C_BEV150_EX,2015,0,From MOVES5,2057,ON
T_LDV_C_BEV150_EX,2020,1,From MOVES5,2020,ON
T_LDV_C_BEV150_EX,2020,0.997,From MOVES5,2021,ON
T_LDV_C_BEV150_EX,2020,0.994009,From MOVES5,2022,ON
T_LDV_C_BEV150_EX,2020,0.991026973,From MOVES5,2023,ON
T_LDV_C_BEV150_EX,2020,0.984089784,From MOVES5,2024,ON
T_LDV_C_BEV150_EX,2020,0.974248886,From MOVES5,2025,ON
T_LDV_C_BEV150_EX,2020,0.960609402,From MOVES5,2026,ON
T_LDV_C_BEV150_EX,2020,0.942357823,From MOVES5,2027,ON
T_LDV_C_BEV150_EX,2020,0.919741236,From MOVES5,2028,ON
T_LDV_C_BEV150_EX,2020,0.89306874,From MOVES5,2029,ON
T_LDV_C_BEV150_EX,2020,0.861811334,From MOVES5,2030,ON
T_LDV_C_BEV150_EX,2020,0.826477069,From MOVES5,2031,ON
T_LDV_C_BEV150_EX,2020,0.787632647,From MOVES5,2032,ON
T_LDV_C_BEV150_EX,2020,0.718320974,From MOVES5,2033,ON
T_LDV_C_BEV150_EX,2020,0.613446112,From MOVES5,2034,ON
T_LDV_C_BEV150_EX,2020,0.510387165,From MOVES5,2035,ON
T_LDV_C_BEV150_EX,2020,0.414944765,From MOVES5,2036,ON
T_LDV_C_BEV150_EX,2020,0.331540867,From MOVES5,2037,ON
T_LDV_C_BEV150_EX,2020,0.260922663,From MOVES5,2038,ON
T_LDV_C_BEV150_EX,2020,0.203258754,From MOVES5,2039,ON
T_LDV_C_BEV150_EX,2020,0.156915758,From MOVES5,2040,ON
T_LDV_C_BEV150_EX,2020,0.120354387,From MOVES5,2041,ON
T_LDV_C_BEV150_EX,2020,0.091830397,From MOVES5,2042,ON
T_LDV_C_BEV150_EX,2020,0.069791102,From MOVES5,2043,ON
T_LDV_C_BEV150_EX,2020,0.052831864,From MOVES5,2044,ON
T_LDV_C_BEV150_EX,2020,0.039993721,From MOVES5,2045,ON
T_LDV_C_BEV150_EX,2020,0.030155266,From MOVES5,2046,ON
T_LDV_C_BEV150_EX,2020,0.02273707,From MOVES5,2047,ON
T_LDV_C_BEV150_EX,2020,0.012891919,From MOVES5,2048,ON
T_LDV_C_BEV150_EX,2020,0.009694723,From MOVES5,2049,ON
T_LDV_C_BEV150_EX,2020,0.007290432,From MOVES5,2050,ON
T_LDV_C_BEV150_EX,2020,0.005475114,From MOVES5,2051,ON
T_LDV_C_BEV150_EX,2020,0.004106336,From MOVES5,2052,ON
T_LDV_C_BEV150_EX,2020,0.003079752,From MOVES5,2053,ON
T_LDV_C_BEV150_EX,2020,0.002306734,From MOVES5,2054,ON
T_LDV_C_BEV150_EX,2020,0.001725437,From MOVES5,2055,ON
T_LDV_C_BEV150_EX,2020,0.001288901,From MOVES5,2056,ON
T_LDV_C_BEV150_EX,2020,0.000961521,From MOVES5,2057,ON
T_LDV_C_BEV150_EX,2020,0.000717294,From MOVES5,2058,ON
T_LDV_C_BEV150_EX,2020,0.000534384,From MOVES5,2059,ON
T_LDV_C_BEV150_EX,2020,0.000397582,From MOVES5,2060,ON
T_LDV_C_BEV150_EX,2020,0.000295403,From MOVES5,2061,ON
T_LDV_C_BEV150_EX,2020,0,From MOVES5,2062,ON
T_LDV_C_BEV150_N,2025,1,From MOVES5,2025,ON
T_LDV_C_BEV150_N,2025,0.997,From MOVES5,2026,ON
T_LDV_C_BEV150_N,2025,0.994009,From MOVES5,2027,ON
T_LDV_C_BEV150_N,2025,0.991026973,From MOVES5,2028,ON
T_LDV_C_BEV150_N,2025,0.984089784,From MOVES5,2029,ON
T_LDV_C_BEV150_N,2025,0.974248886,From MOVES5,2030,ON
T_LDV_C_BEV150_N,2025,0.960609402,From MOVES5,2031,ON
T_LDV_C_BEV150_N,2025,0.942357823,From MOVES5,2032,ON
T_LDV_C_BEV150_N,2025,0.919741236,From MOVES5,2033,ON
T_LDV_C_BEV150_N,2025,0.89306874,From MOVES5,2034,ON
T_LDV_C_BEV150_N,2025,0.861811334,From MOVES5,2035,ON
T_LDV_C_BEV150_N,2025,0.826477069,From MOVES5,2036,ON
T_LDV_C_BEV150_N,2025,0.787632647,From MOVES5,2037,ON
T_LDV_C_BEV150_N,2025,0.718320974,From MOVES5,2038,ON
T_LDV_C_BEV150_N,2025,0.613446112,From MOVES5,2039,ON
T_LDV_C_BEV150_N,2025,0.510387165,From MOVES5,2040,ON
T_LDV_C_BEV150_N,2025,0.414944765,From MOVES5,2041,ON
T_LDV_C_BEV150_N,2025,0.331540867,From MOVES5,2042,ON
T_LDV_C_BEV150_N,2025,0.260922663,From MOVES5,2043,ON
T_LDV_C_BEV150_N,2025,0.203258754,From MOVES5,2044,ON
T_LDV_C_BEV150_N,2025,0.156915758,From MOVES5,2045,ON
T_LDV_C_BEV150_N,2025,0.120354387,From MOVES5,2046,ON
T_LDV_C_BEV150_N,2025,0.091830397,From MOVES5,2047,ON
T_LDV_C_BEV150_N,2025,0.069791102,From MOVES5,2048,ON
T_LDV_C_BEV150_N,2025,0.052831864,From MOVES5,2049,ON
T_LDV_C_BEV150_N,2025,0.039993721,From MOVES5,2050,ON
T_LDV_C_BEV150_N,2025,0.030155266,From MOVES5,2051,ON
T_LDV_C_BEV150_N,2025,0.02273707,From MOVES5,2052,ON
T_LDV_C_BEV150_N,2025,0.012891919,From MOVES5,2053,ON
T_LDV_C_BEV150_N,2025,0.009694723,From MOVES5,2054,ON
T_LDV_C_BEV150_N,2025,0.007290432,From MOVES5,2055,ON
T_LDV_C_BEV150_N,2025,0.005475114,From MOVES5,2056,ON
T_LDV_C_BEV150_N,2025,0.004106336,From MOVES5,2057,ON
T_LDV_C_BEV150_N,2025,0.003079752,From MOVES5,2058,ON
T_LDV_C_BEV150_N,2025,0.002306734,From MOVES5,2059,ON
T_LDV_C_BEV150_N,2025,0.001725437,From MOVES5,2060,ON
T_LDV_C_BEV150_N,2025,0.001288901,From MOVES5,2061,ON
T_LDV_C_BEV150_N,2025,0.000961521,From MOVES5,2062,ON
T_LDV_C_BEV150_N,2025,0.000717294,From MOVES5,2063,ON
T_LDV_C_BEV150_N,2025,0.000534384,From MOVES5,2064,ON
T_LDV_C_BEV150_N,2025,0.000397582,From MOVES5,2065,ON
T_LDV_C_BEV150_N,2025,0.000295403,From MOVES5,2066,ON
T_LDV_C_BEV150_N,2025,0,From MOVES5,2067,ON
T_LDV_C_BEV150_N,2030,1,From MOVES5,2030,ON
T_LDV_C_BEV150_N,2030,0.997,From MOVES5,2031,ON
T_LDV_C_BEV150_N,2030,0.994009,From MOVES5,2032,ON
T_LDV_C_BEV150_N,2030,0.991026973,From MOVES5,2033,ON
T_LDV_C_BEV150_N,2030,0.984089784,From MOVES5,2034,ON
T_LDV_C_BEV150_N,2030,0.974248886,From MOVES5,2035,ON
T_LDV_C_BEV150_N,2030,0.960609402,From MOVES5,2036,ON
T_LDV_C_BEV150_N,2030,0.942357823,From MOVES5,2037,ON
T_LDV_C_BEV150_N,2030,0.919741236,From MOVES5,2038,ON
T_LDV_C_BEV150_N,2030,0.89306874,From MOVES5,2039,ON
T_LDV_C_BEV150_N,2030,0.861811334,From MOVES5,2040,ON
T_LDV_C_BEV150_N,2030,0.826477069,From MOVES5,2041,ON
T_LDV_C_BEV150_N,2030,0.787632647,From MOVES5,2042,ON
T_LDV_C_BEV150_N,2030,0.718320974,From MOVES5,2043,ON
T_LDV_C_BEV150_N,2030,0.613446112,From MOVES5,2044,ON
T_LDV_C_BEV150_N,2030,0.510387165,From MOVES5,2045,ON
T_LDV_C_BEV150_N,2030,0.414944765,From MOVES5,2046,ON
