tech,lifetime,notes,region
T_LDV_C_BEV150_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_BEV150_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_BEV200_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_BEV300_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_BEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_CNG_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_DSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_DSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_FCEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_C_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_BEV150_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_BEV200_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_BEV300_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_BEV300_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_BEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_CNG_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_DSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_DSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_FCEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTP_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_BEV150_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_BEV200_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_BEV300_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_BEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_CNG_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_DSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_DSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_FCEV400_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_HEV_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_HEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_PHEV35_EX,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_PHEV35_N,42,(y) age when vehicles have 0% survival rate,ON
T_LDV_LTF_GSL_PHEV50_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_BEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_DSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_DSL_HEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_DSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_DSL_PHEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_FCEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_FCHEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_GSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_MDV_T_GSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_BEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_DSL_EX,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_DSL_HEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_DSL_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_DSL_PHEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_FCEV_N,42,(y) age when vehicles have 0% survival rate,ON
T_HDV_T_FCHEV_N,42,(y) age when vehicles have 0% survival rate,ON
