region,tech,vintage,lifetime,notes
AB,T_HDV_T_BEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_BEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_BEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_BEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_BEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_BEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_EX,2005.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_EX,2010.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_HEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_DSL_PHEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_HDV_T_FCHEV_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_EX,2015.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_EX,2020.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV150_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV200_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV300_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_BEV400_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_CNG_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_CNG_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_CNG_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_CNG_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_CNG_N,2045.0,23,(y) age when vehicles have 0% survival rate
