region,tech,notes,lifetime
AB,T_HDV_T_BEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_DSL_EX,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_DSL_HEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_DSL_N,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_DSL_PHEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_FCEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_HDV_T_FCHEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_C_BEV150_EX,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_BEV150_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_BEV200_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_BEV300_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_BEV400_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_CNG_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_DSL_EX,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_DSL_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_FCEV400_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_EX,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_HEV_EX,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_HEV_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_PHEV35_EX,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_PHEV35_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_C_GSL_PHEV50_N,(y) age when vehicles have 0% survival rate,23
AB,T_LDV_LTF_BEV150_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_BEV200_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_BEV300_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_BEV400_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_CNG_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_DSL_EX,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_DSL_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_FCEV400_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_GSL_EX,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_GSL_HEV_EX,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_GSL_HEV_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_GSL_N,(y) age when vehicles have 0% survival rate,26
AB,T_LDV_LTF_GSL_PHEV35_EX,(y) age when vehicles have 0% survival rate,26
