group_name,tech,data_id
LDV_C_BEV,T_LDV_C_BEV150_EX,TRPHR001
LDV_C_BEV,T_LDV_C_BEV150_N,TRPHR001
LDV_C_BEV,T_LDV_C_BEV200_N,TRPHR001
LDV_C_BEV,T_LDV_C_BEV300_N,TRPHR001
LDV_C_BEV,T_LDV_C_BEV400_N,TRPHR001
LDV_C_GSL_PHEV,T_LDV_C_GSL_PHEV35_EX,TRPHR001
LDV_C_GSL_PHEV,T_LDV_C_GSL_PHEV35_N,TRPHR001
LDV_C_GSL_PHEV,T_LDV_C_GSL_PHEV50_N,TRPHR001
LDV_C_GSL_HEV,T_LDV_C_GSL_HEV_EX,TRPHR001
LDV_C_GSL_HEV,T_LDV_C_GSL_HEV_N,TRPHR001
LDV_C_FCEV,T_LDV_C_FCEV400_N,TRPHR001
LDV_C_CNG,T_LDV_C_CNG_N,TRPHR001
LDV_LTP_BEV,T_LDV_LTP_BEV150_N,TRPHR001
LDV_LTP_BEV,T_LDV_LTP_BEV200_N,TRPHR001
LDV_LTP_BEV,T_LDV_LTP_BEV300_EX,TRPHR001
LDV_LTP_BEV,T_LDV_LTP_BEV300_N,TRPHR001
LDV_LTP_BEV,T_LDV_LTP_BEV400_N,TRPHR001
LDV_LTP_GSL_PHEV,T_LDV_LTP_GSL_PHEV35_EX,TRPHR001
LDV_LTP_GSL_PHEV,T_LDV_LTP_GSL_PHEV35_N,TRPHR001
LDV_LTP_GSL_PHEV,T_LDV_LTP_GSL_PHEV50_N,TRPHR001
LDV_LTP_GSL_HEV,T_LDV_LTP_GSL_HEV_EX,TRPHR001
LDV_LTP_GSL_HEV,T_LDV_LTP_GSL_HEV_N,TRPHR001
LDV_LTP_FCEV,T_LDV_LTP_FCEV400_N,TRPHR001
LDV_LTP_CNG,T_LDV_LTP_CNG_N,TRPHR001
LDV_LTF_BEV,T_LDV_LTF_BEV150_N,TRPHR001
LDV_LTF_BEV,T_LDV_LTF_BEV200_N,TRPHR001
LDV_LTF_BEV,T_LDV_LTF_BEV300_N,TRPHR001
LDV_LTF_BEV,T_LDV_LTF_BEV400_N,TRPHR001
LDV_LTF_GSL_PHEV,T_LDV_LTF_GSL_PHEV35_EX,TRPHR001
LDV_LTF_GSL_PHEV,T_LDV_LTF_GSL_PHEV35_N,TRPHR001
LDV_LTF_GSL_PHEV,T_LDV_LTF_GSL_PHEV50_N,TRPHR001
LDV_LTF_GSL_HEV,T_LDV_LTF_GSL_HEV_EX,TRPHR001
LDV_LTF_GSL_HEV,T_LDV_LTF_GSL_HEV_N,TRPHR001
LDV_LTF_FCEV,T_LDV_LTF_FCEV400_N,TRPHR001
LDV_LTF_CNG,T_LDV_LTF_CNG_N,TRPHR001
MDV_T_BEV,T_MDV_T_BEV_N,TRPHR001
MDV_T_DSL_PHEV,T_MDV_T_DSL_PHEV_N,TRPHR001
MDV_T_DSL_HEV,T_MDV_T_DSL_HEV_N,TRPHR001
MDV_T_FCEV,T_MDV_T_FCEV_N,TRPHR001
MDV_T_FCHEV,T_MDV_T_FCHEV_N,TRPHR001
HDV_T_BEV,T_HDV_T_BEV_N,TRPHR001
HDV_T_DSL_PHEV,T_HDV_T_DSL_PHEV_N,TRPHR001
HDV_T_DSL_HEV,T_HDV_T_DSL_HEV_N,TRPHR001
HDV_T_FCEV,T_HDV_T_FCEV_N,TRPHR001
HDV_T_FCHEV,T_HDV_T_FCHEV_N,TRPHR001
