,scenario,region,sector,period,tech,vintage,capacity
5,zulu,ON,transportation,2045,T_LDV_C_CNG_N,2035,0.00020727901505683606
6,zulu,ON,transportation,2050,T_LDV_LTP_GSL_HEV_N,2045,1731.4444071621756
17,zulu,ON,transportation,2035,T_LDV_C_BEV300_N,2025,0.00048011373969673166
20,zulu,ON,transportation,2040,T_LDV_C_BEV150_N,2035,44.820792113633395
27,zulu,ON,transportation,2040,T_LDV_LTP_BEV150_N,2035,0.0005733206528854059
29,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV50_N,2045,0.00043314532346907164
36,zulu,ON,transportation,2045,T_LDV_LTP_BEV150_N,2030,3.914853654640351e-05
38,zulu,ON,transportation,2045,T_LDV_C_FCEV400_N,2035,0.00026176563594954445
41,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV50_N,2035,0.0013871284691697233
44,zulu,ON,transportation,2050,T_LDV_LTP_BEV300_N,2040,0.000816363032675981
49,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV35_N,2040,0.001040929976912929
54,zulu,ON,transportation,2040,T_LDV_LTP_BEV200_N,2040,0.0005442433610892902
61,zulu,ON,transportation,2045,T_LDV_LTP_BEV200_N,2035,0.0011466294035684076
66,zulu,ON,transportation,2050,T_LDV_LTP_GSL_HEV_N,2035,381.5433105072574
78,zulu,ON,transportation,2040,T_LDV_LTP_BEV150_N,2025,1.1922145940011105e-05
83,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV50_N,2035,0.0006317362515906762
91,zulu,ON,transportation,2050,T_LDV_LTP_FCEV400_N,2050,0.0005596200044202652
103,zulu,ON,transportation,2040,T_LDV_LTP_BEV200_N,2030,0.00039147458953435905
109,zulu,ON,transportation,2030,T_LDV_C_FCEV400_N,2025,0.00013813974599346116
111,zulu,ON,transportation,2030,T_LDV_C_GSL_PHEV35_N,2030,0.027539504480867654
122,zulu,ON,transportation,2030,T_LDV_C_DSL_N,2030,0.00016551995456853217
128,zulu,ON,transportation,2025,T_LDV_LTP_DSL_EX,2015,56.380804259
132,zulu,ON,transportation,2030,T_LDV_LTP_DSL_N,2025,0.00017007152253159305
150,zulu,ON,transportation,2050,T_LDV_LTP_FCEV400_N,2040,0.0004655917230519959
153,zulu,ON,transportation,2030,T_LDV_C_GSL_PHEV50_N,2025,0.0007957052180708753
182,zulu,ON,transportation,2025,T_LDV_C_BEV200_N,2025,0.00040009840945361987
183,zulu,ON,transportation,2030,T_LDV_LTP_BEV300_N,2025,0.00017878867788052714
198,zulu,ON,transportation,2035,T_LDV_LTP_GSL_HEV_EX,2020,3.5731616094000005
199,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV35_N,2040,32.22928394706088
201,zulu,ON,transportation,2025,T_LDV_LTP_GSL_HEV_N,2025,0.0011161374012745747
207,zulu,ON,transportation,2040,T_LDV_LTP_CNG_N,2030,0.00047062152367972155
220,zulu,ON,transportation,2045,T_LDV_C_BEV300_N,2045,608.3531390182574
237,zulu,ON,transportation,2050,T_LDV_LTP_BEV400_N,2050,0.0015311161752266063
239,zulu,ON,transportation,2025,T_LDV_C_GSL_EX,2015,1085.7056348896
255,zulu,ON,transportation,2035,T_LDV_LTP_GSL_N,2030,0.00022995707600845103
262,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV35_EX,2015,0.016372236800000002
281,zulu,ON,transportation,2035,T_LDV_LTP_DSL_N,2035,0.00020714415918377354
287,zulu,ON,transportation,2045,T_LDV_C_BEV300_N,2035,107.5699010678982
288,zulu,ON,transportation,2030,T_LDV_C_BEV300_N,2030,0.0017135900735436222
303,zulu,ON,transportation,2025,T_LDV_C_DSL_EX,2020,3.81484961
305,zulu,ON,transportation,2050,T_LDV_LTP_BEV400_N,2040,0.001088482268871087
306,zulu,ON,transportation,2035,T_LDV_C_GSL_N,2035,0.00020446986447642088
309,zulu,ON,transportation,2030,T_LDV_LTP_FCEV400_N,2025,0.0001532312664949973
331,zulu,ON,transportation,2025,T_LDV_LTP_GSL_EX,2015,1281.35795142
335,zulu,ON,transportation,2035,T_LDV_LTP_BEV300_N,2035,0.0017199376756484388
345,zulu,ON,transportation,2035,T_LDV_C_BEV200_N,2030,0.0011423964986425172
355,zulu,ON,transportation,2045,T_LDV_LTP_CNG_N,2040,0.0003867685653680833
357,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV50_N,2040,0.0006220046295734444
360,zulu,ON,transportation,2035,T_LDV_C_GSL_N,2025,0.00022427266121105062
361,zulu,ON,transportation,2035,T_LDV_LTP_GSL_HEV_N,2030,0.00135927611383629
372,zulu,ON,transportation,2040,T_LDV_C_FCEV400_N,2030,0.00023150169281718378
376,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV35_N,2035,0.0012320449067291205
377,zulu,ON,transportation,2035,T_LDV_C_BEV150_N,2030,0.0005712077680632059
390,zulu,ON,transportation,2040,T_LDV_C_DSL_N,2035,0.00020015283594667656
404,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV50_N,2030,0.0015881943230149555
412,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV50_N,2030,0.0008079205209164192
441,zulu,ON,transportation,2025,T_LDV_C_GSL_PHEV35_N,2025,0.0023822805455799285
443,zulu,ON,transportation,2045,T_LDV_LTP_BEV150_N,2045,0.0010960945357175146
445,zulu,ON,transportation,2030,T_LDV_LTP_BEV400_N,2025,0.00023837820116165895
453,zulu,ON,transportation,2025,T_LDV_C_DSL_N,2025,0.0002831281540222464
457,zulu,ON,transportation,2050,T_LDV_C_BEV200_N,2050,569.2580492537135
459,zulu,ON,transportation,2045,T_LDV_LTP_GSL_N,2045,0.00022572710381212914
468,zulu,ON,transportation,2050,T_LDV_C_GSL_N,2045,0.00022654210922511147
470,zulu,ON,transportation,2025,T_LDV_C_GSL_PHEV35_EX,2020,22.742305975999997
474,zulu,ON,transportation,2035,T_LDV_LTP_GSL_EX,2020,314.002142346
490,zulu,ON,transportation,2050,T_LDV_C_GSL_HEV_N,2050,5.987719621350436
501,zulu,ON,transportation,2050,T_LDV_C_BEV150_N,2050,284.6290246612981
506,zulu,ON,transportation,2045,T_LDV_LTP_BEV150_N,2035,0.0005733206528854059
508,zulu,ON,transportation,2045,T_LDV_C_FCEV400_N,2040,0.0006405976859772153
518,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV50_N,2050,0.0015222775791003977
519,zulu,ON,transportation,2045,T_LDV_LTP_GSL_N,2035,0.00025584931690482014
528,zulu,ON,transportation,2045,T_LDV_LTP_BEV200_N,2040,0.0005442433610892902
529,zulu,ON,transportation,2045,T_LDV_C_DSL_N,2045,0.00013297373755831915
530,zulu,ON,transportation,2030,T_LDV_LTP_GSL_HEV_EX,2015,0.6586895914
547,zulu,ON,transportation,2050,T_LDV_C_GSL_HEV_N,2040,240.1591058863927
