tech,fuel
F_E_BIO_G,bio_g
F_E_BIO_M,bio_m
F_E_NG,ng
F_E_COAL,coal
F_E_OIL,oil
F_E_DSL,dsl
F_E_U_NAT,u_nat
F_E_U_ENR,u_enr
F_E_GSL,gsl
F_R_OIL,oil
F_R_NG,ng
E_R_ELC,elc
F_R_LPG,lpg
F_R_WOOD,wood
F_C_OIL,oil
F_C_NG,ng
E_C_ELC,elc
F_C_BIO,bio
F_C_H2,h2
F_I_BIO,bio
E_I_ELC,elc
F_I_H2,h2
F_I_NG,ng
F_I_HFO,hfo
F_R_BIO,bio
F_R_H2,h2
F_T_BIO,bio
E_T_ELC,elc
F_T_H2,h2
F_T_NG,ng
F_T_HFO,hfo
F_T_LPG,lpg
F_T_GSL,gsl
F_I_COAL,coal
F_I_DSL,dsl
F_I_NGL,ngl
F_I_OTH,oth
F_I_PCOKE,pcoke
F_I_WOOD,wood
F_I_COKE,coke
F_T_ETH,eth
F_T_DSL,dsl
F_T_RDSL,rdsl
F_T_CNG,cng
F_T_JTF,jtf
F_T_SPK,spk
F_T_MDO,mdo
F_T_LNG,lng
F_A_NG,ng
E_A_ELC,elc
F_A_DSL,dsl
F_A_PROP,prop
F_A_GSL,gsl
F_IMP_BIO,bio
F_IMP_BIO_G,bio_g
F_IMP_BIO_M,bio_m
F_IMP_CNG,cng
F_IMP_COAL,coal
F_IMP_COKE,coke
F_IMP_DSL,dsl
F_IMP_ETH,eth
F_IMP_GSL,gsl
F_IMP_H2,h2
F_IMP_HFO,hfo
F_IMP_JTF,jtf
F_IMP_LNG,lng
F_IMP_LPG,lpg
F_IMP_MDO,mdo
F_IMP_NG,ng
F_IMP_NGL,ngl
F_IMP_OIL,oil
F_IMP_OTH,oth
F_IMP_PCOKE,pcoke
F_IMP_PROP,prop
F_IMP_RDSL,rdsl
F_IMP_SPK,spk
F_IMP_U_ENR,u_enr
F_IMP_U_NAT,u_nat
F_IMP_WOOD,wood
