tech,period,capacity
E_BAT_1H-EXS,2025,0.0
E_BAT_2H-NEW,2025,-0.0030601848273977056
E_BAT_2H-NEW,2030,-0.12977130844873705
E_BAT_2H-NEW,2035,-0.15029715186650328
E_BAT_2H-NEW,2040,-0.694871125699659
E_BAT_2H-NEW,2045,-1.1605009538883932
E_BAT_2H-NEW,2050,-1.1584787168283033
E_BAT_3H-EXS,2025,0.0
E_BAT_4H-EXS,2025,0.0
E_BAT_4H-EXS,2030,0.0
E_BAT_4H-NEW,2025,-0.0009240686727224786
E_BAT_4H-NEW,2030,-0.003193674571678754
E_BAT_4H-NEW,2035,-0.0063521232385370125
E_BAT_4H-NEW,2040,-0.011812181795376514
E_BAT_4H-NEW,2045,0.6382111709439257
E_BAT_4H-NEW,2050,1.9818766432140988
E_BAT_5H-EXS,2025,0.0
E_BAT_5H-EXS,2030,0.0
E_BIO_G-EXS,2025,0.0
E_BIO_G-EXS,2030,0.0
E_BIO_G-EXS,2035,0.0
E_BIO_G-EXS,2040,0.0
E_BIO_G-EXS,2045,0.0
E_BIO_M-EXS,2025,0.0
E_BIO_M-EXS,2030,0.0
E_BIO_M-EXS,2035,0.0
E_BIO_M-EXS,2040,0.0
E_BIO_M-EXS,2045,0.0
E_BIO_M-EXS,2050,0.0
E_BIO_M-NEW,2025,-0.00015098334105575155
E_BIO_M-NEW,2030,-0.00032136164715357307
E_BIO_M-NEW,2035,-0.0005010805046750935
E_BIO_M-NEW,2040,-0.000701802263778436
E_BIO_M-NEW,2045,-0.0009240116497903227
E_BIO_M-NEW,2050,-0.0011670425908452855
E_HYD_DLY-EXS,2025,0.0
E_HYD_DLY-EXS,2030,0.0
E_HYD_DLY-EXS,2035,0.0
E_HYD_DLY-EXS,2040,0.0
E_HYD_DLY-EXS,2045,0.0
E_HYD_DLY-EXS,2050,0.0
E_HYD_ROR-EXS,2025,0.0
E_HYD_ROR-EXS,2030,0.0
E_HYD_ROR-EXS,2035,0.0
E_HYD_ROR-EXS,2040,0.0
E_HYD_ROR-EXS,2045,0.0
E_HYD_ROR-EXS,2050,0.0
E_INT_IN-QC,2025,0.0
E_INT_IN-QC,2030,0.0
E_INT_IN-QC,2035,0.0
E_INT_IN-QC,2040,0.0
E_INT_IN-QC,2045,0.0
E_INT_IN-QC,2050,0.0
E_INT_IN-USA,2025,0.0
E_INT_IN-USA,2030,0.0
E_INT_IN-USA,2035,0.0
E_INT_IN-USA,2040,0.0
E_INT_IN-USA,2045,0.0
E_INT_IN-USA,2050,0.0
E_NG_CC-EXS,2025,0.0
E_NG_CC-EXS,2030,0.0
E_NG_CC-EXS,2035,0.0
E_NG_CC-EXS,2040,0.0
E_NG_CC-EXS,2045,0.0
E_NG_CC-EXS,2050,0.0
E_NG_CC-NEW,2025,-0.0027595220286752184
E_NG_CC-NEW,2030,-0.008659236654076575
E_NG_CC-NEW,2035,-0.01272199302997101
E_NG_CC-NEW,2040,-0.02398223150970583
E_NG_CC-NEW,2045,-1.1023222536878787
E_NG_CC-NEW,2050,-0.93629957286068
E_NG_CCS-NEW,2025,-0.00047223428281628816
E_NG_CCS-NEW,2030,-0.001099142529728965
E_NG_CCS-NEW,2035,-0.001807425976041683
E_NG_CCS-NEW,2040,-0.002695466940068691
E_NG_CCS-NEW,2045,-0.0038020026010304304
E_NG_CCS-NEW,2050,-0.005095854042700423
E_NG_CCS_RFIT_90,2025,-0.0001532369129379278
E_NG_CCS_RFIT_90,2030,-0.00033125361981587364
E_NG_CCS_RFIT_90,2035,-0.0005385758983968007
E_NG_CCS_RFIT_90,2040,-0.0007738892162897494
E_NG_CCS_RFIT_90,2045,-0.0010400833971448734
E_NG_CCS_RFIT_90,2050,-0.001340933166176441
E_NG_CCS_RFIT_95,2025,-0.00014867388976665873
E_NG_CCS_RFIT_95,2030,-0.0003215547618056777
E_NG_CCS_RFIT_95,2035,-0.0005231697202716293
E_NG_CCS_RFIT_95,2040,-0.0007520441407056405
E_NG_CCS_RFIT_95,2045,-0.0010107779441898075
E_NG_CCS_RFIT_95,2050,-0.0013033819215540674
E_NG_CG-EXS,2025,0.0
E_NG_CG-EXS,2030,0.0
E_NG_CG-EXS,2035,0.0
E_NG_CG-EXS,2040,0.0
E_NG_CG-EXS,2045,0.0
