tech,output_comm,efficiency
E_T_ELC,T_elc,1.0
F_T_CNG,T_cng,1.0
F_T_DSL,T_dsl,1.0
F_T_ETH,T_eth,1.0
F_T_GSL,T_gsl,1.0
F_T_H2,T_h2_700,1.0
F_T_HFO,T_hfo,1.0
F_T_JTF,T_jtf,1.0
F_T_LNG,T_lng,1.0
F_T_MDO,T_mdo,1.0
F_T_RDSL,T_rdsl,1.0
F_T_SPK,T_spk,1.0
T_BLND_DSL_ELC_HDV,T_dsl_elc_hdv,1.0
T_BLND_DSL_ELC_MDV,T_dsl_elc_mdv,1.0
T_BLND_ETH_GSL,T_gsl_eth10,1.0
T_BLND_GSL_ELC_PHEV35,T_gsl_elc_phev35,1.0
T_BLND_GSL_ELC_PHEV50,T_gsl_elc_phev50,1.0
T_BLND_JTF,T_jtf_spkX,1.0
T_BLND_RDSL_DSL,T_dsl_rdsl04,1.0
T_BLND_SPK,T_jtf_spk50,1.0
T_H2_HDV_REFUEL,T_h2_hdv,0.995
T_H2_LDV_REFUEL,T_h2_ldv,0.995
T_H2_MDV_REFUEL,T_h2_mdv,0.995
T_HDV_AJF_JFL,T_D_tkm_hdv_aj,0.40809812761904757
T_HDV_AJF_SPK,T_D_tkm_hdv_aj,0.454315972
T_HDV_AJP_JFL,T_D_pkm_hdv_aj,0.7107539736666666
T_HDV_AJP_SPK,T_D_pkm_hdv_aj,0.802890473
T_HDV_BIC_BEV,T_D_pkm_hdv_bic,5.0924266246
T_HDV_BIC_DSL,T_D_pkm_hdv_bic,1.8143255090000001
T_HDV_BIC_DSL_HEV,T_D_pkm_hdv_bic,2.2684426478
T_HDV_BIC_FCEV,T_D_pkm_hdv_bic,3.372519386
T_HDV_BIC_GSL,T_D_pkm_hdv_bic,1.5134920348405798
T_HDV_BS_BEV,T_D_pkm_hdv_bs,13.385157874599999
T_HDV_BS_CNG,T_D_pkm_hdv_bs,2.2785992013382352
T_HDV_BS_DSL,T_D_pkm_hdv_bs,2.8293944234999997
T_HDV_BS_DSL_HEV,T_D_pkm_hdv_bs,4.2980898692
T_HDV_BS_DSL_PHEV,T_D_pkm_hdv_bs,10.0691400292
T_HDV_BS_FCEV,T_D_pkm_hdv_bs,6.838372124
T_HDV_BS_FCHEV,T_D_pkm_hdv_bs,7.0034839742
T_HDV_BS_GSL,T_D_pkm_hdv_bs,2.2741447982820513
T_HDV_BT_BEV,T_D_pkm_hdv_bt,2.2849628243376623
T_HDV_BT_CNG,T_D_pkm_hdv_bt,0.5210986601594203
T_HDV_BT_DSL,T_D_pkm_hdv_bt,0.6577529442500001
T_HDV_BT_DSL_HEV,T_D_pkm_hdv_bt,0.8289606204000001
T_HDV_BT_DSL_PHEV,T_D_pkm_hdv_bt,1.7007467647999999
T_HDV_BT_FCEV,T_D_pkm_hdv_bt,1.2271405728
T_HDV_BT_FCHEV,T_D_pkm_hdv_bt,1.2660047965999999
T_HDV_BT_GSL,T_D_pkm_hdv_bt,0.5356503058412699
T_HDV_CHRG,T_elc_hdv_chrg,0.9
T_HDV_RF_DSL,T_D_tkm_hdv_r,4.784361066
T_HDV_RF_H2,T_D_tkm_hdv_r,7.957100955
T_HDV_RF_LNG,T_D_tkm_hdv_r,5.0247618992000005
T_HDV_RICP_DSL,T_D_pkm_hdv_r,0.6435648697777777
T_HDV_RICP_H2,T_D_pkm_hdv_r,1.260392305
T_HDV_T_BEV,T_D_tkm_hdv_t,2.3819661162
T_HDV_T_DSL,T_D_tkm_hdv_t,0.7879595175
T_HDV_T_DSL_HEV,T_D_tkm_hdv_t,1.0177401418
T_HDV_T_DSL_PHEV,T_D_tkm_hdv_t,1.6037450254
T_HDV_T_FCEV,T_D_tkm_hdv_t,1.2402366124
T_HDV_T_FCHEV,T_D_tkm_hdv_t,1.205897115
T_HDV_WTF_HFO,T_D_tkm_hdv_wt,7.146694427999999
T_HDV_WTF_LNG,T_D_tkm_hdv_wt,7.790577280800001
T_HDV_WTF_MDO,T_D_tkm_hdv_wt,6.8437021417777775
T_LDV_BEV_CHRG,T_elc_ldv_bev_chrg,0.9
T_LDV_C_BEV150,T_D_pkm_ldv_c,2.5445128588749997
T_LDV_C_BEV200,T_D_pkm_ldv_c,2.6471316092
T_LDV_C_BEV300,T_D_pkm_ldv_c,2.5416823635999997
T_LDV_C_BEV400,T_D_pkm_ldv_c,2.3099828222
T_LDV_C_CNG,T_D_pkm_ldv_c,0.6848462364
T_LDV_C_DSL,T_D_pkm_ldv_c,0.7745399085555555
T_LDV_C_FCEV400,T_D_pkm_ldv_c,1.3654717118
T_LDV_C_GSL,T_D_pkm_ldv_c,0.5846589737777778
T_LDV_C_GSL_HEV,T_D_pkm_ldv_c,0.974255965
T_LDV_C_GSL_PHEV35,T_D_pkm_ldv_c,1.7986891945
T_LDV_C_GSL_PHEV50,T_D_pkm_ldv_c,2.2280827492
T_LDV_LTF_BEV150,T_D_tkm_ldv_t,0.7778236404000001
T_LDV_LTF_BEV200,T_D_tkm_ldv_t,0.7632104064
T_LDV_LTF_BEV300,T_D_tkm_ldv_t,0.7405946118
T_LDV_LTF_BEV400,T_D_tkm_ldv_t,0.6683515674
T_LDV_LTF_CNG,T_D_tkm_ldv_t,0.1985558828
T_LDV_LTF_DSL,T_D_tkm_ldv_t,0.18653177299999998
T_LDV_LTF_FCEV400,T_D_tkm_ldv_t,0.37074649559999995
T_LDV_LTF_GSL,T_D_tkm_ldv_t,0.16147926340000002
T_LDV_LTF_GSL_HEV,T_D_tkm_ldv_t,0.264317685425
T_LDV_LTF_GSL_PHEV35,T_D_tkm_ldv_t,0.5413596561428572
T_LDV_LTF_GSL_PHEV50,T_D_tkm_ldv_t,0.6525154918
T_LDV_LTP_BEV150,T_D_pkm_ldv_t,2.391458192
T_LDV_LTP_BEV200,T_D_pkm_ldv_t,2.3465290632
T_LDV_LTP_BEV300,T_D_pkm_ldv_t,2.139425413525
T_LDV_LTP_BEV400,T_D_pkm_ldv_t,2.1582902646
T_LDV_LTP_CNG,T_D_pkm_ldv_t,0.6104701214
T_LDV_LTP_DSL,T_D_pkm_ldv_t,0.5737277328
T_LDV_LTP_FCEV400,T_D_pkm_ldv_t,1.1398788856
T_LDV_LTP_GSL,T_D_pkm_ldv_t,0.4966591618
T_LDV_LTP_GSL_HEV,T_D_pkm_ldv_t,0.8148162626250001
T_LDV_LTP_GSL_PHEV35,T_D_pkm_ldv_t,1.6284420240500002
T_LDV_LTP_GSL_PHEV50,T_D_pkm_ldv_t,2.00619194
T_LDV_M_BEV,T_D_pkm_ldv_m,1.9804467062
T_LDV_M_GSL,T_D_pkm_ldv_m,0.7061423867777777
T_LDV_PHEV_CHRG,T_elc_ldv_phev_chrg,0.9
T_MDV_CHRG,T_elc_mdv_chrg,0.9
T_MDV_T_BEV,T_D_tkm_mdv_t,0.7770792178000001
T_MDV_T_DSL,T_D_tkm_mdv_t,0.24096851130000002
T_MDV_T_DSL_HEV,T_D_tkm_mdv_t,0.3320006288
T_MDV_T_DSL_PHEV,T_D_tkm_mdv_t,0.5561237472
T_MDV_T_FCEV,T_D_tkm_mdv_t,0.4284930154
T_MDV_T_FCHEV,T_D_tkm_mdv_t,0.40066105280000003
T_MDV_T_GSL,T_D_tkm_mdv_t,0.1923937315
T_OFF,T_D_pj_off,1.0
