group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
Existing_HDV,T_HDV_AJF_JFL_EX,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,jtf,NONE,ice,non-zev,Existing
HDV,T_HDV_AJF_JFL_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,jtf,NONE,ice,non-zev,new
HDV ICE,T_HDV_AJF_JFL_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,jtf,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_AJF_JFL_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,jtf,NONE,ice,non-zev,new
HDV,T_HDV_AJF_SPK_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,spk,NONE,ice,non-zev,new
HDV REN,T_HDV_AJF_SPK_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,spk,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_AJF_SPK_N,T_D_tkm_hdv_aj,Aircraft,tkm,btkm-year,spk,NONE,ice,non-zev,new
Existing_HDV,T_HDV_AJP_JFL_EX,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,jtf,NONE,ice,non-zev,Existing
HDV,T_HDV_AJP_JFL_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,jtf,NONE,ice,non-zev,new
HDV ICE,T_HDV_AJP_JFL_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,jtf,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_AJP_JFL_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,jtf,NONE,ice,non-zev,new
HDV,T_HDV_AJP_SPK_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,spk,NONE,ice,non-zev,new
HDV REN,T_HDV_AJP_SPK_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,spk,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_AJP_SPK_N,T_D_pkm_hdv_aj,Aircraft,pkm,bpkm-year,spk,NONE,ice,non-zev,new
HDV,T_HDV_BIC_BEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV elc,T_HDV_BIC_BEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV ZEV,T_HDV_BIC_BEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,elc,NONE,BEV,zev,new
Existing_HDV,T_HDV_BIC_DSL_EX,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BIC_DSL_HEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV hyb,T_HDV_BIC_DSL_HEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV N-ZEV,T_HDV_BIC_DSL_HEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV,T_HDV_BIC_DSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_BIC_DSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BIC_DSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV,T_HDV_BIC_FCEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV H2,T_HDV_BIC_FCEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_BIC_FCEV_N,T_D_pkm_hdv_bic,Bus,pkm,k units,h2,NONE,h2,zev,new
Existing_HDV,T_HDV_BIC_GSL_EX,T_D_pkm_hdv_bic,Bus,pkm,k units,gsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BIC_GSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_BIC_GSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BIC_GSL_N,T_D_pkm_hdv_bic,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV,T_HDV_BS_BEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV elc,T_HDV_BS_BEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,elc,NONE,BEV,zev,new
HDV ZEV,T_HDV_BS_BEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,elc,NONE,BEV,zev,new
Existing_HDV,T_HDV_BS_CNG_EX,T_D_pkm_hdv_bs,Bus,pkm,k units,cng,NONE,ice,non-zev,Existing
HDV,T_HDV_BS_CNG_N,T_D_pkm_hdv_bs,Bus,pkm,k units,cng,NONE,ice,non-zev,new
HDV ICE,T_HDV_BS_CNG_N,T_D_pkm_hdv_bs,Bus,pkm,k units,cng,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BS_CNG_N,T_D_pkm_hdv_bs,Bus,pkm,k units,cng,NONE,ice,non-zev,new
Existing_HDV,T_HDV_BS_DSL_EX,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BS_DSL_HEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV hyb,T_HDV_BS_DSL_HEV_N,T_D_pkm_hdv_bs,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
