region,tech,c2a,notes_x,data_source_x,dq_cred_x,dq_geog_x,dq_struc_x,dq_tech_x,dq_time_x,data_id_x,vintage,output_comm,operator,factor,notes_y,data_source_y,dq_cred_y,dq_geog_y,dq_struc_y,dq_tech_y,dq_time_y,data_id_y,capacity,virtual_demand,demand_type
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,12.056,7.192896867957885,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,11.93544,7.120967899278306,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,10.488719999999999,6.25782027512336,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,8.318639999999998,4.96309883889094,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2000,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,5.786879999999999,3.4525904966197847,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,39.534,23.586926408248758,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,39.13866,23.351057144166273,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,34.39458,20.52062597517642,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,27.278459999999995,16.27497922169164,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,47.424,28.29428840959147,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,46.94976,28.011345525495553,T_D_tkm_hdv
ON,T_HDV_T_DSL,9.75,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 30 tonnes of payload for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_tkm_hdv_t,le,0.0611921874666759,,,,,,,,TRPHRON002,41.25888,24.616030916344577,T_D_tkm_hdv
