region,output_comm,min_output,period,commodity,demand,satisfaction
AB,C_D_spc,0.0,2025,C_D_spc,5.767658538202554,0.0
ON,T_D_pkm_ldv_m,0.0,2025,T_D_pkm_ldv_m,1.461576447,0.0
ON,T_D_pkm_hdv_bt,0.0,2025,T_D_pkm_hdv_bt,9.000896063,0.0
ON,T_D_pkm_hdv_bs,0.0,2025,T_D_pkm_hdv_bs,11.780291522,0.0
ON,T_D_pkm_hdv_bic,0.0,2025,T_D_pkm_hdv_bic,2.20018248,0.0
NS,T_D_pkm_ldv_m,0.0,2025,T_D_pkm_ldv_m,0.163305670574521,0.0
NS,T_D_pkm_hdv_bt,0.001450275437577678,2025,T_D_pkm_hdv_bt,0.972652479055739,0.0
BC,T_D_pkm_hdv_bic,0.0,2025,T_D_pkm_hdv_bic,0.827943987,0.0
BC,T_D_pkm_hdv_bs,0.0,2025,T_D_pkm_hdv_bs,4.951217588,0.0
BC,T_D_pkm_hdv_bt,0.0010843715842873396,2025,T_D_pkm_hdv_bt,3.763735031,0.0
NS,T_D_pkm_hdv_bs,0.0,2025,T_D_pkm_hdv_bs,1.60230709450865,0.0
PEI,R_D_app_cdry,0.0,2025,R_D_app_cdry,0.003407007504690432,0.0
BC,T_D_pkm_ldv_m,0.0,2025,T_D_pkm_ldv_m,0.454126332,0.0
NLLAB,T_D_pkm_ldv_m,0.0,2025,T_D_pkm_ldv_m,0.114940738334768,0.0
NLLAB,T_D_pkm_hdv_bt,0.0010229481047602882,2025,T_D_pkm_hdv_bt,0.691264630627237,0.0
NLLAB,T_D_pkm_hdv_bs,0.0,2025,T_D_pkm_hdv_bs,1.24656074315991,0.0
NLLAB,T_D_pkm_hdv_bic,0.0,2025,T_D_pkm_hdv_bic,0.165137084350593,0.0
NB,T_D_pkm_ldv_m,0.0,2025,T_D_pkm_ldv_m,0.143321700226575,0.0
NB,T_D_pkm_hdv_bt,0.0012737077866202603,2025,T_D_pkm_hdv_bt,0.856385461635098,0.0
