tech,flag,sector,category,sub_category,unlim_cap,annual,reserve,curtail,retire,flex,exchange,seas_stor,description,data_id
A_AGRI,p,agriculture,,,1,1,0,0,0,0,0,0,Generic technology representing Agriculture,AGRIHR001
C_SPH_OIL-EXS,p,commercial,,,0,1,0,0,0,0,0,0,space heating oil - existing,COMHR001
C_SPH_NG-EXS,p,commercial,,,0,1,0,0,0,0,0,0,space heating natural gas - existing,COMHR001
C_SPH_ELC-EXS,p,commercial,,,0,1,0,0,0,0,0,0,space heating electric - existing,COMHR001
C_SPC_ELC-EXS,p,commercial,,,0,1,0,0,0,0,0,0,space cooling electric - existing,COMHR001
C_OTHER,p,commercial,,,1,1,0,0,0,0,0,0,other all other commercial energy demand,COMHR001
C_SPHC_HP_AIR-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space cooling air-source heat pump typical efficiency - new,COMHR001
C_SPHC_HP_GEO-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space cooling geo-exchange heat pump typical efficiency - new,COMHR001
C_SPH_ELC_BLR-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space heating electric boiler - new,COMHR001
C_SPH_ELC_RES-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space heating electric resistance heating - new,COMHR001
C_SPH_NG_FRN-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space heating gas furnace - new,COMHR001
C_SPC_AC_ROOF-NEW,p,commercial,,,0,1,0,0,0,0,0,0,space cooling rooftop air-conditioning - new,COMHR001
E_ELC_TX_to_DX,p,electricity,,,1,0,0,0,0,0,0,0,transmission-side electricity to distribution-side electricity,ELCHR001
E_ELC_DX_to_DEM,p,electricity,,,1,0,0,0,0,0,0,0,distribution-side electricity to demand-side electricity,ELCHR001
E_GSL_CT-EXS,p,electricity,,,0,0,1,0,0,0,0,0,gasoline combustion turbine generation - Stephenville - existing,ELCHR001
E_OIL_ST-EXS,p,electricity,,,0,0,1,0,0,0,0,0,oil steam turbine generation - Holyrood - existing,ELCHR001
