region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRAB001
AB,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRAB001
BC,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRBC001
BC,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRBC001
BC,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRBC001
MB,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRMB001
MB,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRMB001
NB,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRNB001
NB,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNB001
NB,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNB001
NLLAB,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRNLLAB001
NLLAB,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNLLAB001
NLLAB,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNLLAB001
NS,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRNS001
NS,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNS001
NS,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRNS001
ON,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRON001
ON,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRON001
ON,2025,T_LDV_PHEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRON001
PEI,2025,T_HDV_CHRG,2015,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRPEI001
PEI,2025,T_LDV_BEV_CHRG,2015,0.26743248,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2020.",T24,,,,,,TRPHRPEI001
