region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2025,T_HDV_AJF_JFL,2005.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_AJF_JFL,2010.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_AJF_JFL,2015.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2030,T_HDV_AJF_JFL,2010.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2030,T_HDV_AJF_JFL,2015.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2035,T_HDV_AJF_JFL,2015.0,24.089881813,2020 CAD (M$/btkm),Air freight O&M costs were estimated from Transport Canada (2008) full cost of transportation report (TP 14819E) by using a constant passenger-to-freight infrastructure operating cost ratio from that of 2000.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_AJP_JFL,2005.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_AJP_JFL,2010.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_AJP_JFL,2015.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2030,T_HDV_AJP_JFL,2010.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2030,T_HDV_AJP_JFL,2015.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2035,T_HDV_AJP_JFL,2015.0,6.200477247,2020 CAD (M$/bpkm),O&M costs derived from EPA US 9R TIMES database; using current air jet technology. Same source was used by the Open Energy Outlook 2022.,T24,,,,,,TRPHRAB001
AB,2025,T_HDV_BIC_DSL,2015.0,16.764073793,2020 CAD (M$/bpkm),Maintainance and repair costs were estimated using Burhe & Sinha 2020 intercity-to-transit bus maintainance cost ratios on technologies from the Transit Bus class.,T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BIC_GSL,2015.0,11.017748215,2020 CAD (M$/bpkm),Maintainance and repair costs were estimated using Burhe & Sinha 2020 intercity-to-transit bus maintainance cost ratios on technologies from the Transit Bus class.,T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BS_CNG,2015.0,16.764073793,2020 CAD (M$/bpkm),Maintainance and repair costs were estimated using AFLEET2023 school-to-transit bus maintainance cost ratios on technologies from the Transit Bus class.,T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BS_DSL,2015.0,16.764073793,2020 CAD (M$/bpkm),Maintainance and repair costs were estimated using AFLEET2023 school-to-transit bus maintainance cost ratios on technologies from the Transit Bus class.,T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BS_GSL,2015.0,10.300420848,2020 CAD (M$/bpkm),Maintainance and repair costs were estimated using AFLEET2023 school-to-transit bus maintainance cost ratios on technologies from the Transit Bus class.,T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BT_BEV,2015.0,10.058444276,2020 CAD (M$/bpkm),"Vehicle class maintainance and repair cost derived from Islam et al. 2022 TCO assessment of Transit Buses; M&R costs are empirically modelled as a function of cumulative lifetime mileage, which varies with vehicle age. Values were harmonized using provincial avg. load factors in the last 5 years.",T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BT_CNG,2015.0,16.764073793,2020 CAD (M$/bpkm),"CNG fuel type maintainance and repair costs were derived using AFLEET2023 MDVs diesel-to-CNG maintainance cost ratio on the diesel values of this class. Vehicle class maintainance and repair cost derived from Islam et al. 2022 TCO assessment of Transit Buses; M&R costs are empirically modelled as a function of cumulative lifetime mileage, which varies with vehicle age. Values were harmonized using provincial avg. load factors in the last 5 years.",T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BT_DSL,2015.0,16.764073793,2020 CAD (M$/bpkm),"Vehicle class maintainance and repair cost derived from Islam et al. 2022 TCO assessment of Transit Buses; M&R costs are empirically modelled as a function of cumulative lifetime mileage, which varies with vehicle age. Values were harmonized using provincial avg. load factors in the last 5 years.",T21,,,,,,TRPHRAB001
AB,2025,T_HDV_BT_GSL,2015.0,11.017748215,2020 CAD (M$/bpkm),"Gasoline fuel type maintainance and repair costs were derived using AFLEET2023 MDVs diesel-to-gasoline maintainance cost ratio on the diesel values of this class. Vehicle class maintainance and repair cost derived from Islam et al. 2022 TCO assessment of Transit Buses; M&R costs are empirically modelled as a function of cumulative lifetime mileage, which varies with vehicle age. Values were harmonized using provincial avg. load factors in the last 5 years.",T21,,,,,,TRPHRAB001
AB,2025,T_HDV_RF_DSL,2000.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2025,T_HDV_RF_DSL,2005.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2025,T_HDV_RF_DSL,2010.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2025,T_HDV_RF_DSL,2015.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2030,T_HDV_RF_DSL,2005.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2030,T_HDV_RF_DSL,2010.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2030,T_HDV_RF_DSL,2015.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2035,T_HDV_RF_DSL,2010.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
AB,2035,T_HDV_RF_DSL,2015.0,1.632871261,2020 CAD (M$/btkm),"O&M costs were estimated with the Open Energy Outlook 2022 approach, based on the EPA US 9R TIMES database, using 6% of the capital costs associated with this transport mode.",T24,,,,,,TRPHRAB001
