region,emis_comm,input_comm,tech,vintage,output_comm,activity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,co2,F_ng,F_T_NG,2020,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_ng,F_T_NG,2025,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_ng,F_T_NG,2030,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_ng,F_T_NG,2035,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_ng,F_T_NG,2040,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_ng,F_T_NG,2045,T_ng,51.8766756,kTonne/PJ,"Converted from g/m3 to kTonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2020,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2025,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2030,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2035,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2040,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_ng,F_T_NG,2045,T_ng,0.991957105,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2020,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2025,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2030,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2035,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2040,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_ng,F_T_NG,2045,T_ng,0.884718499,Tonne/PJ,"Converted from g/m3 to Tonne/PJ, using the industrial values",F4,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2020,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2025,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2030,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2035,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2040,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_ng,F_T_NG,2045,T_ng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2020,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2025,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2030,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2035,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2040,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_eth,F_T_ETH,2045,T_eth,64.9,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_eth,F_T_ETH,2020,T_eth,64.9,kTonne/PJ,Using the GWP100 values from IPCC AR6,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
