source_id,source,notes,data_id
T01,"International Civil Aviation Organization. (2023, July). ICAO Global Framework for Aviation Alternative Fuels. Conversion Processes. https://www.icao.int/environmental-protection/GFAAF/Pages/Conversion-processes.aspx",,TRPHR001
T02,"Jiang, H. (2013). Key Findings on Airplane Economic Life. Boeing. https://www.boeing.com/content/dam/boeing/boeingdotcom/commercial/about-our-market/assets/downloads/aircraft_economic_life_whitepaper.pdf",,TRPHR001
T03,"DeCarolis, J. F., Jaramillo, P., Johnson, J. X., McCollum, D. L., Trutnevyte, E., Daniels, D. C., Akn-Olcum, G., Bergerson, J., Cho, S., Choi, J.-H., Craig, M. T., de Queiroz, A. R., Eshraghi, H., Galik, C. S., Gutowski, T. G., Haapala, K. R., Hodge, B.-",,TRPHR001
T04,"Statistics Canada. (2022a, April). Average expected useful life of new municipally owned public transit assets, by urban and rural, and population size, Infrastructure Canada. https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410025501",,TRPHR001
T05,Natural Resources Canada. (2023a). Fuel consumption ratings. https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,,TRPHR001
T06,IEA. (2024). Global Hydrogen Review 2024  Assumptions annex. https://www.iea.org/reports/global-hydrogen-review-2024,,TRPHR001
T07,S&T Squared Consultants Inc. (2022). GHGenius Inventory Data (5.02b) [Dataset]. https://www.ghgenius.ca/index.php/downloads,,TRPHR001
T08,EPA. (2023). Population and Activity of Onroad Vehicles in MOVES4 (EPA-420-R-23-005). https://www.epa.gov/system/files/documents/2023-08/420r23005.pdf,,TRPHR001
T09,Environment and Climate Change Canada. (2024). Fuel Life Cycle Assessment Model ( En4-418/1-2024E-PDF). https://www.canada.ca/en/environment-climate-change/services/managing-pollution/fuel-life-cycle-assessment-model.html,,TRPHR001
T10,Great Lakes St. Lawrence Seaway Development Corporation. (2013). Environmental and Social Impacts of Marine Transport. Prepared by: Research and Traffic Group. https://greatlakes-seaway.com/wp-content/uploads/2019/10/Impacts-Full_En.pdf,,TRPHR001
T11,"Energy Information Administration. (2023). Annual Energy Outlook 2023Table 3: Energy Prices by Sector and Source, Middle Atlantic Region, Reference case. https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2023&region=1-2&cases=ref2023&start=2021&end=2050&f=A&linechart=&map=ref2023-d020623a.3-3-AEO2023.1-2&ctype=linechart&sourcekey=0",,TRPHR001
T12,"Dept. for Business, Energy & Industrial Strategy. (2021). Hydrogen production costs 2021. UK Government. https://www.gov.uk/government/publications/hydrogen-production-costs-2021",,TRPHR001
T13,"Argonne National Laboratory, Amgad Elgowainy, & Krishna Reddi. (2022). Hydrogen Delivery Scenario Analysis Model (HDSAM) v4.5. Hydrogen Delivery Infrastructure Analysis. https://hdsam.es.anl.gov/index.php",,TRPHR001
T14,"Electric Power Research Institute. (2023, August). U.S. Regional Economy, Greenhouse Gas, and Energy (US-REGEN)2021A LCRI Model Documentation. US-REGEN Documentation. https://us-regen-docs.epri.com/v2021a/",,TRPHR001
T15,"Calvin, K., Patel, P., Clarke, L., Asrar, G., Bond-Lamberty, B., Cui, R. Y., Di Vittorio, A., Dorheim, K., Edmonds, J., Hartin, C., Hejazi, M., Horowitz, R., Iyer, G., Kyle, P., Kim, S., Link, R., McJeon, H., Smith, S. J., Snyder, A., ... Wise, M. (2019). GCAM v5.1: Representing the linkages between energy, water, land, climate, and economic systems. Geoscientific Model Development, 12(2), 677698. https://doi.org/10.5194/gmd-12-677-2019",,TRPHR001
T16,"ICCT. (2022, February). Assessing charging infrastructure needs in Quebec. International Council on Clean Transportation. https://theicct.org/publication/lvs-ci-quebec-can-en-feb22/",,TRPHR001
T17,"Natural Resources Canada. (2023b). Transportation Sector  Ontario. Government of Canada, Natural Resources Canada. https://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/menus/trends/comprehensive/trends_tran_on.cfm",,TRPHR001
T18,"Argonne National Laboratory, Islam, E. S., Prada, D. N., Vijayagopal, R., Mansour, C., Philips, P., Kim, N., Alhajjar, M., & Rousseau, A. (2023, October). Detailed Simulation Study to Evaluate Future Transportation Decarbonization Potential. Vehicle & Mobility Systems Department - Argonne National Laboratory. https://vms.taps.anl.gov/research-highlights/vehicle-technologies/u-s-doe-vto-hfto-r-d-benefits/",,TRPHR001
T19,"Argonne National Laboratory, Wang, M., Elgowainy, A., Lee, U., Baek, K., Balchandani, S., Benavides, P., Burnham, A., Cai, H., Chen, P., Gan, Y., Gracida-Alvarez, U., Hawkins, T., Huang, T.-Y., Iyer, R., Kar, S., Kelly, J., Kim, T., Kolodziej, C., ... Zhang, J. (2023). Greenhouse gases, Regulated Emissions, and Energy use in Technologies Model  (2023 Excel) [database]. https://doi.org/10.11578/GREET-EXCEL-2023/DC.20230907.1",,TRPHR001
T20,..,,TRPHR001
T21,"Argonne National Laboratory, Islam, E., Vijayagopal, R., & Rousseau, A. (2022). A Comprehensive Simulation Study to Evaluate Future Vehicle Energy and Cost Reduction Potential (ANL/ESD-22/6). https://vms.taps.anl.gov/research-highlights/u-s-doe-vto-hfto-r-d-benefits/",,TRPHR001
T22,"Environment and Climate Change Canada. (2020, December 18). Clean Fuel Regulations. Environment and Natural Resources. https://www.canada.ca/en/environment-climate-change/services/managing-pollution/energy-production/fuel-regulations/clean-fuel-regulations/about.html",,TRPHR001
T23,"Plazas Nino, F., Yeganyan, R., Cannone, C., Howells, M., Borba, B., & Quiros-Tortos, J. (2023). Techno-Economic Energy Dataset for Hydrogen Pathways Modelling. 1. https://doi.org/10.17632/8ztnn4br66.1",,TRPHR001
T24,"DeCarolis, J. F., Jaramillo, P., Johnson, J. X., McCollum, D. L., Trutnevyte, E., Daniels, D. C., Akn-Olcum, G., Bergerson, J., Cho, S., Choi, J.-H., Craig, M. T., de Queiroz, A. R., Eshraghi, H., Galik, C. S., Gutowski, T. G., Haapala, K. R., Hodge, B.-M., Hoque, S., Jenkins, J. D., ... Zhou, Y. (2020). Open Energy OutlookLeveraging Open-Source Tools for Collaborative Macro-energy System Modeling Efforts. Joule, 4(12), 25232526. https://doi.org/10.1016/j.joule.2020.11.002",,TRPHR001
T25,National Highway Traffic Safety Administration. (2024). 2024 Final Rule for Model Years 2027-2031 Passenger Cars and Light Trucks and Model Years 2030-2035 Heavy-Duty Pickup Trucks and Vans. CAFE Compliance and Effects Modeling System. https://www.nhtsa.gov/corporate-average-fuel-economy/cafe-compliance-and-effects-modeling-system,,TRPHR001
T26,"Energy Innovation & Pembina Institute. (2023). Canada Energy Policy Simulator v3.4.7. Retrieved May 29, 2023, from https://docs.energypolicy.solutions/models/canada",,TRPHR001
